23 Sektor;Nama Perusahaan;Deskripsi KBLI;Kabkot;Tambahan Investasi (US$);Negara;Proyek;TKI;TKA;
Industri Makanan;GUNAJAYA KARYA GEMILANG;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;2.105.611;Singapura;1;0;0;TW 1
Industri Makanan;AGRO SEJAHTERA MANUNGGAL;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;2.088.962;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;HARAPAN SAWIT LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1.494.822;Singapura;1;76;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SANDAI MAKMUR SAWIT;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1.480.618;Malaysia;1;0;0;TW 1
Kehutanan;HUTAN KETAPANG INDUSTRI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Ketapang;1.466.554;Singapura;1;12;0;TW 1
Industri Makanan;SASMITA BUMI WIJAYA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;1.255.751;Malaysia;1;109;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;PRAKARSA TANI SEJATI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1.006.063;Singapura;1;5;0;TW 1
Industri Makanan;SENTOSA BUMI WIJAYA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Bengkayang;970.658;Malaysia;1;112;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;PALMA AGRO LESTARI JAYA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;970.049;Singapura;1;20;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;LAHAN AGRO INTI KETAPANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sambas;953.409;Malaysia;1;729;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;LESTARI GEMILANG INTISAWIT;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;867.653;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;LIMPAH SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;841.950;Singapura;1;31;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;LADANG SAWIT MAS;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;766.117;Singapura;1;0;0;TW 1
Industri Makanan;HARAPAN SAWIT LESTARI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;686.653;Singapura;1;2;0;TW 1
Perumahan, Kawasan Industri dan Perkantoran;WESTERFIELD ALUMINA INDONESIA;(68130) Kawasan Industri;Kabupaten Sanggau;671.875;Hongkong, RRT;1;4;2;TW 1
Transportasi, Gudang dan Telekomunikasi;TELEKOMUNIKASI SELULAR;(61200) Aktivitas Telekomunikasi Tanpa Kabel;Kota Pontianak;646.810;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;GRAND UTAMA MANDIRI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sekadau;623.437;Korea Selatan;1;1;0;TW 1
Industri Makanan;LESTARI GEMILANG INTISAWIT;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;562.512;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;POLIPLANT SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;556.162;Malaysia;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SANDIKA NATA PALMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;533.538;Belanda;1;1;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;FALCON AGRI PERSADA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;532.965;Singapura;1;88;0;TW 1
Industri Makanan;INDO SAWIT KEKAL;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;501.966;Singapura;1;1;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;BUDIDAYA AGROLESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;485.414;Belanda;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SEPANJANG INTISURYA MULIA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;444.353;Singapura;1;0;0;TW 1
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;WESTERFIELD ALUMINA INDONESIA;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Sanggau;437.500;Hongkong, RRT;1;6;2;TW 1
Perdagangan dan Reparasi;LAHAN AGRO INTI KETAPANG;(46202) Perdagangan Besar Buah Yang Mengandung Minyak;Kota Pontianak;408.604;Malaysia;1;0;0;TW 1
Industri Makanan;ANDES AGRO INVESTAMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;388.862;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;MITRA KARYA SENTOSA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;376.072;Singapura;1;16;0;TW 1
Industri Makanan;LOUYANG BIOENERGY TECHNOLOGY;(10423) Industri Minyak Goreng Kelapa;Kabupaten Kubu Raya;360.080;R.R. Tiongkok;1;0;0;TW 1
Kehutanan;FINNANTARA INTIGA;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Sanggau;359.197;Singapura;1;2;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SAWIT MITRA ABADI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;358.834;Singapura;1;0;0;TW 1
Industri Makanan;BATU MAS SEJAHTERA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;347.846;Singapura;1;2;0;TW 1
Industri Makanan;PACIFIC BIO INDUSTRY;(10434) Industri Pemurnian Minyak Mentah Kelapa Sawit dan Minyak Mentah Inti Kelapa Sawit;Kabupaten Mempawah;329.626;Malaysia;1;44;4;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;ANDES AGRO INVESTAMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;298.181;Singapura;1;0;0;TW 1
Transportasi, Gudang dan Telekomunikasi;INDOSAT;(61200) Aktivitas Telekomunikasi Tanpa Kabel;Kota Pontianak;279.556;Singapura;1;0;0;TW 1
Perdagangan dan Reparasi;TINTIN BOYOK SAWIT MAKMUR DUA;(46202) Perdagangan Besar Buah Yang Mengandung Minyak;Kabupaten Sanggau;279.311;Korea Selatan;1;3;1;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SUMBER HASIL PRIMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;273.974;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SURYA AGRO PALMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;265.595;Singapura;1;0;0;TW 1
Perdagangan dan Reparasi;SINAR TANIMAS MAJU;(46530) Perdagangan Besar Mesin, Peralatan Dan Perlengkapan Pertanian;Kota Pontianak;264.077;Malaysia;1;10;0;TW 1
Perdagangan dan Reparasi;SINAR TANIMAS MAJU;(46530) Perdagangan Besar Mesin, Peralatan Dan Perlengkapan Pertanian;Kota Pontianak;264.077;Malaysia;1;10;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRONUSA INVESTAMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sambas;256.221;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;CITRA SAWIT CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;255.148;Singapura;1;799;0;TW 1
Industri Makanan;KARYA BAKTI AGRO SEJAHTERA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;252.958;Singapura;1;0;0;TW 1
Industri Makanan;LOUYANG BIOENERGY TECHNOLOGY;(10411) Industri Minyak Mentah dan Lemak Nabati;Kabupaten Kubu Raya;250.000;R.R. Tiongkok;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;KARYA BAKTI AGRO SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;234.044;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;KARYA MAKMUR LANGGENG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;224.197;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO MANUNGGAL SAWITINDO;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;216.250;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SENTOSA PRIMA AGRO;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;215.161;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SENTOSA PRIMA AGRO;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;215.161;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;BATU MAS SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;214.107;Singapura;1;18;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;MAKMUR JAYA MALINDO;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;212.719;Malaysia;1;0;0;TW 1
Industri Makanan;POLIPLANT SEJAHTERA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;205.804;Malaysia;1;1;0;TW 1
Kehutanan;NUSANTARA KALIMANTAN LESTARI ;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Ketapang;204.882;Malaysia;1;6;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO ABADI CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;204.833;Singapura;1;44;1;TW 1
Industri Makanan;LADANG SAWIT MAS;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;194.679;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;PERKEBUNAN ANAK NEGERI PASAMAN;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sambas;187.243;Inggris;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;GUNAJAYA KARYA GEMILANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;183.435;Singapura;1;0;0;TW 1
Industri Makanan;MAYA AGRO INVESTAMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;177.635;Singapura;1;1;0;TW 1
Industri Makanan;CITRANUSA INTISAWIT;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;174.420;Kepulauan Virgin Inggris;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;HUNGARINDO PERSADA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;170.412;Singapura;1;0;0;TW 1
Perdagangan dan Reparasi;YAKULT INDONESIA PERSADA;(46326) Perdagangan Besar Susu Dan Produk Susu;Kabupaten Ketapang;168.138;Jepang;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;TINTIN BOYOK SAWIT MAKMUR DUA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;165.267;Korea Selatan;1;4;0;TW 1
Industri Makanan;AGRONUSA INVESTAMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Landak;146.631;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SINAR SAWIT ANDALAN;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;139.218;Singapura;1;0;0;TW 1
Industri Makanan;SENTOSA PRIMA AGRO;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;138.617;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;MITRA KARYA SENTOSA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;130.361;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRIPLUS;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;110.275;Singapura;1;0;0;TW 1
Industri Makanan;LIMPAH SEJAHTERA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;109.748;Singapura;1;8;0;TW 1
Perdagangan dan Reparasi;TRAKTOR NUSANTARA;(46591) Perdagangan Besar Mesin Kantor dan Industri Pengolahan, Suku Cadang Dan Perlengkapannya;Kabupaten Kubu Raya;104.793;Jepang;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;CITRA MAHKOTA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Melawi;100.562;Kepulauan Virgin Inggris;1;0;0;TW 1
Industri Makanan;WAHANA PLANTATION AND PRODUCTS;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sintang;98.746;Hongkong, RRT;1;1;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;PUTRA SARI LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;97.335;Singapura;1;2;0;TW 1
Industri Makanan;PALMDALE AGROASIA LESTARI MAKMUR;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Kubu Raya;91.695;Kepulauan Virgin Inggris;1;47;0;TW 1
Industri Makanan;PERKEBUNAN ANAK NEGERI PASAMAN;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Landak;91.521;Inggris;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;ANDES SAWIT LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;89.471;Singapura;1;3;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SWADAYA MUKTI PRAKARSA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Kayong Utara;88.310;Singapura;1;137;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;GRAND UTAMA MANDIRI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sekadau;85.044;Korea Selatan;1;1;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;RIMBA BORNEO MAKMUR;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Landak;81.250;Malaysia;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;ANDES SAWIT MAS;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;79.971;Singapura;1;0;0;TW 1
Industri Makanan;UMEKAH SARIPRATAMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;78.123;Singapura;1;5;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;INDO SAWIT KEKAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;77.900;Singapura;1;27;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRAJAYA BAKTITAMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;76.458;Singapura;1;0;0;TW 1
Industri Makanan;GUNAJAYA KETAPANG SENTOSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;71.240;Singapura;1;0;0;TW 1
Industri Makanan;SUMBER HASIL PRIMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sintang;70.426;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO SEJAHTERA MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;70.382;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO SEJAHTERA MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;70.382;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;ADITYA AGROINDO;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;65.367;Hongkong, RRT;1;486;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;ADITYA AGROINDO;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;65.367;Hongkong, RRT;1;486;0;TW 1
Perdagangan dan Reparasi;ADITYA AGROINDO;(46202) Perdagangan Besar Buah Yang Mengandung Minyak;Kabupaten Kubu Raya;64.269;Hongkong, RRT;1;0;0;TW 1
Perikanan;ARU UNGGUL PRIMA;(03259) Budidaya Biota Air Payau Lainnya;Kabupaten Sambas;62.500;R.R. Tiongkok;1;0;0;TW 1
Industri Makanan;REZEKI KENCANA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Kubu Raya;62.464;R.R. Tiongkok;1;0;0;TW 1
Industri Makanan;SWADAYA MUKTI PRAKARSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;59.478;Singapura;1;1;0;TW 1
Industri Makanan;GRAND UTAMA MANDIRI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sekadau;59.063;Korea Selatan;1;4;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRONUSA INVESTAMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Landak;58.696;Singapura;1;5;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO ABADI CEMERLANG;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;56.250;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;WAHANA HIJAU INDAH;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;52.397;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;WAHANA HIJAU INDAH;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;52.397;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;WAHANA HIJAU INDAH;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;52.397;Singapura;1;0;0;TW 1
Industri Makanan;SANDIKA NATA PALMA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;51.315;Belanda;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;AGRO GADING SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sintang;49.685;Jepang;1;135;1;TW 1
Industri Karet dan Plastik;HOK TONG;(22123) Industri Karet Remah (Crumb Rubber);Kota Pontianak;49.427;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;BORNEO KETAPANG PERMAI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;48.402;Singapura;1;0;0;TW 1
Pertambangan;PUSAKA JAMAN RAJA;(07293) Pertambangan Bijih Bauksit;Kabupaten Ketapang;48.147;Hongkong, RRT;1;14;0;TW 1
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;MASINDO TEKNIK INDONESIA;(25120) Industri Tangki, Tandon Air Dan Wadah Dari Logam;Kabupaten Kubu Raya;47.974;Malaysia;1;2;0;TW 1
Perdagangan dan Reparasi;MASINDO TEKNIK INDONESIA;(33200) Instalasi/Pemasangan Mesin dan Peralatan Industri;Kabupaten Kubu Raya;47.974;Malaysia;1;2;0;TW 1
Perdagangan dan Reparasi;MASINDO TEKNIK INDONESIA;(33200) Instalasi/Pemasangan Mesin dan Peralatan Industri;Kabupaten Kubu Raya;47.974;Malaysia;1;2;0;TW 1
Industri Kayu;LANDAK TIMBER PRODUCT;(16105) Industri Partikel Kayu dan Sejenisnya;Kabupaten Sintang;45.644;R.R. Tiongkok;1;1;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SEJAHTERA SAWIT LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;41.886;Singapura;1;0;0;TW 1
Industri Kimia Dan Farmasi;RIMBA KELAPA MAKMUR;(20115) Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian;Kabupaten Mempawah;38.072;R.R. Tiongkok;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;TKM BIOFUEL INDONESIA;(01191) Pertanian Tanaman Pakan Ternak;Kabupaten Kapuas Hulu;37.593;Jepang;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;INDORESINS PUTRA MANDIRI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Landak;37.421;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;MAYA AGRO INVESTAMA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;36.435;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;REZEKI KENCANA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Kubu Raya;32.871;R.R. Tiongkok;1;0;0;TW 1
Industri Makanan;ENERGI UNGGUL PERSADA;(10434) Industri Pemurnian Minyak Mentah Kelapa Sawit dan Minyak Mentah Inti Kelapa Sawit;Kabupaten Mempawah;32.163;Singapura;1;0;0;TW 1
Industri Makanan;SEPANJANG INTISURYA MULIA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;29.133;Singapura;1;7;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;BUMIPRATAMA KHATULISTIWA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Kubu Raya;28.772;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;BUMIPRATAMA KHATULISTIWA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Kubu Raya;28.772;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;BUMIPRATAMA KHATULISTIWA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Kubu Raya;28.772;Singapura;1;0;0;TW 1
Industri Kimia Dan Farmasi;ENERGI UNGGUL PERSADA;(20115) Industri Kimia Dasar Organik Yang Bersumber Dari Hasil Pertanian;Kabupaten Mempawah;27.316;Singapura;1;0;0;TW 1
Industri Makanan;TAYAN BUKIT SAWIT;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;26.563;Malaysia;1;136;0;TW 1
Industri Makanan;PERMATA SUBUR LESTARI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sintang;26.563;Malaysia;1;126;0;TW 1
Kehutanan;MAYANGKARA TANAMAN INDUSTRI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Sanggau;25.826;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;RAYA SAWIT MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;25.229;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;RAYA SAWIT MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;25.229;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;RAYA SAWIT MANUNGGAL;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;25.229;Singapura;1;0;0;TW 1
Industri Mineral Non Logam;SEMEN KALBAR PERKASA;(23941) Industri Semen;Kabupaten Ketapang;25.225;R.R. Tiongkok;1;0;0;TW 1
Pertambangan;TAYAN ALUMINA ABADI;(07293) Pertambangan Bijih Bauksit;Kabupaten Ketapang;24.863;Hongkong, RRT;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SAWIT MAKMUR SEJAHTERA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;23.726;Singapura;1;4;0;TW 1
Industri Makanan;PARNA AGROMAS;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sekadau;22.813;Korea Selatan;1;1;0;TW 1
Industri Makanan;PARNA AGROMAS;(10432) Industri Minyak Mentah Inti Kelapa Sawit (Crude Palm Kernel Oil);Kabupaten Sekadau;22.813;Korea Selatan;1;0;0;TW 1
Industri Karet dan Plastik;GMG SENTOSA;(22123) Industri Karet Remah (Crumb Rubber);Kabupaten Kubu Raya;21.836;Singapura;1;3;0;TW 1
